2G; CargoItalia (alternate)
3U; Sichuan Airlines
3V; TNT Airways
5C; CAL Cargo Air Lines
5S; Global Aviation and Services
5X; UPS Air Cargo
5Y; Atlas Air
6R; AeroUnion
7C; Coyne Airways
7I; Insel Air Cargo
9U; Air Moldova
9W; Jet Airways
A2; Cielos Airlines
A3; Aegean Airlines
AA; American Airlines
AC; Air Canada
AE; Mandarin Airlines
AF; Air France
AH; Air Algerie
AI; Air India
AM; Aeromexico Cargo
AS; Alaska Airlines
AT; Royal Air Maroc
AY; Finnair
AZ; Alitalia
B1; TAB Cargo
BA; British Airways
BD; British Midland Airways
BG; Biman Bangladesh
BI; Royal Brunei Airlines
BR; Eva Airways
BT; Air Baltic
BW; Caribbean Airlines
C8; Cargolux Italia
CA; Air China
CI; China Airlines
CK; China Cargo Airlines
CM; Copa Airlines Cargo
CO; Continental Airlines
CP; Canadian Airlines Int´l
CV; Cargolux Airlines
CX; Cathay Pacific Airways
CY; Cyprus Airways
CZ; China Southern Airlines
DE; Condor Flugdienst
DL; Delta Air Lines
DT; TAAG Angola Airlines
EF; Far Eastern Air Transport
EI; Aer Lingus Cargo
EK; Emirates
ER; DHL Aviation/DHL Airways
ET; Ethiopian Airlines
EV; Atlantic Southeast Airlines
EY; ETIHAD Airways European Air Transport
F4; Shanghai Airlines Cargo
FB; Bulgaria Air
FI; Icelandair
FK; Africa West
FM; Shanghai Airlines
FX; Fedex
GA; Garuda Indonesia
GD; Grandstar Cargo
GF; Gulf Air
GL; Air Greenland
HM; Air Seychelles
HU; Hainan Airlines (Chinese)
IB; Iberia
IC; Indian Airlines
IJ; Great Wall Airlines
IR; Iran Air
IT; Kingfisher Airlines
IY; Yemenia Yemen Airways
J2; Azerbaijan Airlines
JD; Japan Air System
JI; Jade Cargo International
JJ; TAM Brazilian Airlines
JL; Japan Airlines
JM; Air Jamaica
JP; Adria Airways
JU; JAT Airways
JW; Arrow Air
K4; Kalitta Air
KA; Dragonair
KC; Air Astana
KD; KD Avia
KE; Korean Air
KL; KLM Cargo
KM; Air Malta
KQ; Kenya Airways
KU; Kuwait Airways
KX; Cayman Airways
KZ; Nippon Cargo Airlines
LA; LAN Chile
LD; Air Hong Kong
LH; Lufthansa Cargo AG
LI; LIAT Airlines
LM; Air ALM
LN; Libyan Airlines
LO; LOT Polish Airlines
LR; LACSA Airlines of Costa Rica
LT; LTU (Leisure Cargo)
LX; Swiss
LY; EL AL
M2; Mario’s Air
M3; ABSA Aerolinhas Brasileiras
M6; Amerijet International
MA; Malev Hungarian Airlines
MB; MNG Airlines
MD; Air Madagascar
ME; Middle East Airlines
MF; Xiamen Airlines
MH; Malaysian Airline
MK; Air Mauritius
MP; Martinair Cargo
MS; Egyptair
MU; China Eastern Airlines
MY; MASAir
HX; Hong Kong Airlines
N8; National Air Cargo
NC; Northern Air Cargo
NG; Lauda Air
NH; ANA All Nippon Cargo
NW; Northwest Airlines (alternate site)
NX; Air Macau
NZ; Air New Zealand
OA; Olympic Airways
OH; Comair
OK; Czech Airlines
OO; Sky West Airlines
OS; Austrian Cargo
OU; Croatia Airlines
OV; Estonian Air
OZ; Asiana Airlines
PK; Pakistan Int´l Airlines
PO; Polar Air Cargo
PR; Philippine Airlines
PS; Ukraine Int´l Airlines
PX; Air Niugini
QF; Qantas Airways
QN; Air Armenia
QO; Aeromexpress Cargo
QR; Qatar Airways
QT; Tampa Airlines
QY; DHL Aviation /
RB; Syrian Arab Airlines
RF; Florida West International Airways
RG; VARIG Brazilian Airlines
RJ; Royal Jordanian
RU; AirBridge Cargo
S6; SAC South American Airways
S7; Siberia Airlines
SA; South African Airways
SC; Shandong Airlines (Chinese)
SK; SAS-Scandinavian Airlines System
SM; Avient
SN; Brussels Airlines
SP; SATA Air Acores
SQ; Singapore Airlines
SU; Aeroflot
SV; Saudi Arabian Airlines
TA; TACA
TG; Thai Airways
TK; Turkish Airlines
TL; Trans MediterraneanAirways
TP; TAP Air Portugal
UA; United Airlines Cargo
UL; SriLankan Cargo
US; USAirways
UX; Air Europa Cargo
UY; Cameroon Airlines
UZ; Buraq Air Transport (Arabic only)
VN; Vietnam Airlines
VS; Virgin Atlantic
VV; Aerosvit
WE; Centurion Air Cargo
WN; Southwest Airlines
XQ; Sun Express
Y8; Yangtze River Express Airlines
ZH; Shenzhen Airlines (Chinese)
